file_name,audio_length,gender,text
सन्‌_1908__male.wav,7.0015625,male,सन्‌ 1908 में वे विलायत की अंतरिम परीक्षा प्रथम श्रेणी में पास कर वे बैरिस्टर बन गए
सन्‌_1908__female.wav,7.6053125,female,सन्‌ 1908 में वे विलायत की अंतरिम परीक्षा प्रथम श्रेणी में पास कर वे बैरिस्टर बन गए
फौजदारी_वक_male.wav,3.971375,male,फौजदारी वकालत में उन्होंने खूब यश और धाक जमाई
फौजदारी_वक_female.wav,3.9249375,female,फौजदारी वकालत में उन्होंने खूब यश और धाक जमाई
महात्मा_गा_male.wav,13.2129375,male,"महात्मा गांधी ने जब पूरी शक्ति से 'अंग्रेजों भारत छोड़ो आंदोलन' चलाने का निश्चय किया, तो पटेल ने अहमदाबाद में एक लाख जन समूह के सामने लोकल बोर्ड के मैदान में इस आंदोलन की रूपरेखा समझाई"
महात्मा_गा_female.wav,13.5728125,female,"महात्मा गांधी ने जब पूरी शक्ति से 'अंग्रेजों भारत छोड़ो आंदोलन' चलाने का निश्चय किया, तो पटेल ने अहमदाबाद में एक लाख जन समूह के सामने लोकल बोर्ड के मैदान में इस आंदोलन की रूपरेखा समझाई"
उन्होंने_प_male.wav,5.631625,male,"उन्होंने पत्रकार परिषद में कहा कि ऐसा समय फिर नहीं आएगा, आप मन में भय न रखें"
उन्होंने_प_female.wav,5.6664375,female,"उन्होंने पत्रकार परिषद में कहा कि ऐसा समय फिर नहीं आएगा, आप मन में भय न रखें"
चौपाटी_पर__male.wav,16.0225,male,चौपाटी पर दिए गए भाषण में उन्होंने कहा कि आपको यही समझकर यह लड़ाई छेड़नी है कि महात्मा गांधी और अन्य नेताओं को गिरफ्तार कर लिया जाएगा तो आप न भूलें कि आपके हाथ में शक्ति है कि 24 घंटे में ब्रिटिश सरकार का शासन खत्म हो जाएगा
चौपाटी_पर__female.wav,16.2895625,female,चौपाटी पर दिए गए भाषण में उन्होंने कहा कि आपको यही समझकर यह लड़ाई छेड़नी है कि महात्मा गांधी और अन्य नेताओं को गिरफ्तार कर लिया जाएगा तो आप न भूलें कि आपके हाथ में शक्ति है कि 24 घंटे में ब्रिटिश सरकार का शासन खत्म हो जाएगा
सितंबर_194_male.wav,8.3831875,male,सितंबर 1946 में जब नेहरूजी की अस्थायी राष्ट्रीय सरकार बनी तो सरदार पटेल को गृहमंत्री नियुक्त किया गया
सितंबर_194_female.wav,8.23225,female,सितंबर 1946 में जब नेहरूजी की अस्थायी राष्ट्रीय सरकार बनी तो सरदार पटेल को गृहमंत्री नियुक्त किया गया
अत्यधिक_दू_male.wav,10.2988125,male,अत्यधिक दूरदर्शी होने के कारण भारत के विभाजन के पक्ष में पटेल का स्पष्ट मत था कि जहरवाद फैलने से पूर्व गले से अंग को ऑपरेशन कर कटवा देना चाहिए
अत्यधिक_दू_female.wav,10.728375,female,अत्यधिक दूरदर्शी होने के कारण भारत के विभाजन के पक्ष में पटेल का स्पष्ट मत था कि जहरवाद फैलने से पूर्व गले से अंग को ऑपरेशन कर कटवा देना चाहिए
नवंबर_1947_male.wav,15.3143125,male,"नवंबर 1947 में संविधान परिषद की बैठक में उन्होंने अपने इस कथन को स्पष्ट किया कि मैंने विभाजन को अंतिम उपाय के रूप में तब स्वीकार किया था, जब संपूर्ण भारत के हमारे हाथ से निकल जाने की आशंका हो गई थी"
नवंबर_1947_female.wav,15.9993125,female,"नवंबर 1947 में संविधान परिषद की बैठक में उन्होंने अपने इस कथन को स्पष्ट किया कि मैंने विभाजन को अंतिम उपाय के रूप में तब स्वीकार किया था, जब संपूर्ण भारत के हमारे हाथ से निकल जाने की आशंका हो गई थी"
मैंने_यह_भ_male.wav,5.817375,male,मैंने यह भी शर्त रखी कि देशी राज्यों के संबंध में ब्रिटेन हस्तक्षेप नहीं करेगा
मैंने_यह_भ_female.wav,6.0611875,female,मैंने यह भी शर्त रखी कि देशी राज्यों के संबंध में ब्रिटेन हस्तक्षेप नहीं करेगा
इस_समस्या__male.wav,8.5573125,male,इस समस्या को हम सुलझाएंगे और निश्चय ही देशी राज्यों के एकीकरण की समस्या को पटेल ने बिना खून-खराबे के बड़ी खूबी से हल किया
इस_समस्या__female.wav,9.195875,female,इस समस्या को हम सुलझाएंगे और निश्चय ही देशी राज्यों के एकीकरण की समस्या को पटेल ने बिना खून-खराबे के बड़ी खूबी से हल किया
देशी_राज्य_male.wav,11.19275,male,"देशी राज्यों में राजकोट, जूनागढ़, वहालपुर, बड़ौदा, कश्मीर, हैदराबाद को भारतीय महासंघ में सम्मिलित करने में सरदार को कई पेचीदगियों का सामना करना पड़ा"
देशी_राज्य_female.wav,11.018625,female,"देशी राज्यों में राजकोट, जूनागढ़, वहालपुर, बड़ौदा, कश्मीर, हैदराबाद को भारतीय महासंघ में सम्मिलित करने में सरदार को कई पेचीदगियों का सामना करना पड़ा"
ज्ञातव्य_ह_male.wav,10.728375,male,ज्ञातव्य है कि स्वतंत्रता प्राप्ति के बाद भारत के सामने ज्वलंत प्रश्न था कि छोटी-बड़ी 562 रियासतों को भारतीय संघ में कैसे समाहित किया जाए
ज्ञातव्य_ह_female.wav,10.82125,female,ज्ञातव्य है कि स्वतंत्रता प्राप्ति के बाद भारत के सामने ज्वलंत प्रश्न था कि छोटी-बड़ी 562 रियासतों को भारतीय संघ में कैसे समाहित किया जाए
जब_इस_जटिल_male.wav,10.4033125,male,"जब इस जटिल कार्य को जिस महापुरुष ने निहायत ही सादगी तथा शालीनता से सुलझाया, वे थे आधुनिक राष्ट्र-निर्माता 'लौहपुरुष' सरदार वल्लभभाई पटेल"
जब_इस_जटिल_female.wav,10.9025,female,"जब इस जटिल कार्य को जिस महापुरुष ने निहायत ही सादगी तथा शालीनता से सुलझाया, वे थे आधुनिक राष्ट्र-निर्माता 'लौहपुरुष' सरदार वल्लभभाई पटेल"
जब_चीन_के__male.wav,14.0488125,male,जब चीन के प्रधानमंत्री चाऊ एन लाई ने नेहरू को पत्र लिखा कि वे तिब्बत को चीन का अंग मान लें तो पटेल ने नेहरू से आग्रह किया कि वे तिब्बत पर चीन का प्रभुत्व कतई न स्वीकारें अन्यथा चीन भारत के लिए खतरनाक सिद्ध होगा
जब_चीन_के__female.wav,14.606125,female,जब चीन के प्रधानमंत्री चाऊ एन लाई ने नेहरू को पत्र लिखा कि वे तिब्बत को चीन का अंग मान लें तो पटेल ने नेहरू से आग्रह किया कि वे तिब्बत पर चीन का प्रभुत्व कतई न स्वीकारें अन्यथा चीन भारत के लिए खतरनाक सिद्ध होगा
नेहरू_नहीं_male.wav,9.103,male,"नेहरू नहीं माने, बस इसी भूल के कारण हमें चीन से पिटना पड़ा और चीन ने हमारी सीमा की 40,000 वर्ग गज भूमि पर कब्जा कर लिया"
नेहरू_नहीं_female.wav,9.0565625,female,"नेहरू नहीं माने, बस इसी भूल के कारण हमें चीन से पिटना पड़ा और चीन ने हमारी सीमा की 40,000 वर्ग गज भूमि पर कब्जा कर लिया"
सरदार_पटेल_male.wav,12.4118125,male,"सरदार पटेल के ऐतिहासिक कार्यों में सोमनाथ मंदिर का पुनर्निर्माण, गांधी स्मारक निधि की स्थापना, कमला नेहरू अस्पताल की रूपरेखा आदि कार्य सदैव स्मरण किए जाते रहेंगे"
सरदार_पटेल_female.wav,12.7253125,female,"सरदार पटेल के ऐतिहासिक कार्यों में सोमनाथ मंदिर का पुनर्निर्माण, गांधी स्मारक निधि की स्थापना, कमला नेहरू अस्पताल की रूपरेखा आदि कार्य सदैव स्मरण किए जाते रहेंगे"
उनके_मन_मे_male.wav,6.9319375,male,"उनके मन में गोवा को भी भारत में विलय करने की इच्छा कितनी बलवती थी, इसका उदाहरण ही काफी है"
उनके_मन_मे_female.wav,7.23375,female,"उनके मन में गोवा को भी भारत में विलय करने की इच्छा कितनी बलवती थी, इसका उदाहरण ही काफी है"
जब_एक_बार__male.wav,12.156375,male,जब एक बार वे भारतीय युद्धपोत द्वारा बंबई (अब मुंबई) से बाहर यात्रा पर थे तो गोआ के निकट पहुंचने पर उन्होंने कमांडिंग अफसरों से पूछा कि इस युद्धपोत पर तुम्हारे कितने सैनिक हैं
जब_एक_बार__female.wav,12.4815,female,जब एक बार वे भारतीय युद्धपोत द्वारा बंबई (अब मुंबई) से बाहर यात्रा पर थे तो गोआ के निकट पहुंचने पर उन्होंने कमांडिंग अफसरों से पूछा कि इस युद्धपोत पर तुम्हारे कितने सैनिक हैं
जब_कप्तान__male.wav,7.1293125,male,"जब कप्तान ने उनकी संख्या बताई, तो पटेल ने फिर पूछा कि क्या वे गोआ पर अधिकार करने के लिए पर्याप्त हैं"
जब_कप्तान__female.wav,7.5704375,female,"जब कप्तान ने उनकी संख्या बताई, तो पटेल ने फिर पूछा कि क्या वे गोआ पर अधिकार करने के लिए पर्याप्त हैं"
सकारात्मक__male.wav,6.7345625,male,"सकारात्मक उत्तर मिलने पर पटेल बोले कि अच्छा चलो, जब तक हम यहां हैं, गोआ पर अधिकार कर लो"
सकारात्मक__female.wav,7.07125,female,"सकारात्मक उत्तर मिलने पर पटेल बोले कि अच्छा चलो, जब तक हम यहां हैं, गोआ पर अधिकार कर लो"
किंकर्तव्य_male.wav,5.712875,male,"किंकर्तव्यविमूढ़ कप्तान ने उनसे लिखित आदेश देने की विनती की, तब पटेल चौंके"
किंकर्तव्य_female.wav,6.0495625,female,"किंकर्तव्यविमूढ़ कप्तान ने उनसे लिखित आदेश देने की विनती की, तब पटेल चौंके"
फिर_कुछ_सो_male.wav,4.5635,male,"फिर कुछ सोचकर बोले कि ठीक है, चलो, हमें वापस लौटना होगा"
फिर_कुछ_सो_female.wav,4.7840625,female,"फिर कुछ सोचकर बोले कि ठीक है, चलो, हमें वापस लौटना होगा"
जवाहरलाल_इ_male.wav,2.7175,male,जवाहरलाल इस पर आपत्ति करेंगे
जवाहरलाल_इ_female.wav,2.9613125,female,जवाहरलाल इस पर आपत्ति करेंगे
सरदार_पटेल_male.wav,8.685,male,सरदार पटेल और नेहरू के विचारों में काफी मतभेद थे फिर भी गांधी से वचनबद्ध होने के कारण वे नेहरू को सदैव सहयोग देते रहे
सरदार_पटेल_female.wav,9.0216875,female,सरदार पटेल और नेहरू के विचारों में काफी मतभेद थे फिर भी गांधी से वचनबद्ध होने के कारण वे नेहरू को सदैव सहयोग देते रहे
गंभीर_बातो_male.wav,3.1470625,male,गंभीर बातों को भी वे विनोद से कह देते थे
गंभीर_बातो_female.wav,3.4025,female,गंभीर बातों को भी वे विनोद से कह देते थे
कश्मीर_की__male.wav,8.418,male,"कश्मीर की समस्या को लेकर उन्होंने कहा था कि सब जगह तो मेरा वश चल सकता है, पर जवाहरलाल की ससुराल में मेरा वश नहीं चलेगा"
कश्मीर_की__female.wav,8.905625,female,"कश्मीर की समस्या को लेकर उन्होंने कहा था कि सब जगह तो मेरा वश चल सकता है, पर जवाहरलाल की ससुराल में मेरा वश नहीं चलेगा"
उनका_यह_कथ_male.wav,9.5093125,male,"उनका यह कथन भी कितना सटीक था कि भारत में केवल एक व्यक्ति राष्ट्रीय मुसलमान है- जवाहरलाल नेहरू, शेष सब सांप्रदायिक मुसलमान हैं"
उनका_यह_कथ_female.wav,9.846,female,"उनका यह कथन भी कितना सटीक था कि भारत में केवल एक व्यक्ति राष्ट्रीय मुसलमान है- जवाहरलाल नेहरू, शेष सब सांप्रदायिक मुसलमान हैं"
15_दिसंबर__male.wav,10.8676875,male,15 दिसंबर 1950 को प्रात:काल 9.37 पर इस महापुरुष का 76 वर्ष की आयु में निधन हो गया जिसकी क्षतिपूर्ति होना दुष्कर है
15_दिसंबर__female.wav,11.0766875,female,15 दिसंबर 1950 को प्रात:काल 9.37 पर इस महापुरुष का 76 वर्ष की आयु में निधन हो गया जिसकी क्षतिपूर्ति होना दुष्कर है
यह_भी_सच_ह_male.wav,8.3715625,male,"यह भी सच है कि गांधी ने कांग्रेस में प्राणों का संचार किया, तो नेहरू ने उस कल्पना और दृष्टिकोण को विस्तृत आयाम दिया"
यह_भी_सच_ह_female.wav,8.9404375,female,"यह भी सच है कि गांधी ने कांग्रेस में प्राणों का संचार किया, तो नेहरू ने उस कल्पना और दृष्टिकोण को विस्तृत आयाम दिया"
इसके_अलावा_male.wav,7.721375,male,"इसके अलावा जो शक्ति और संपूर्णता कांग्रेस को प्राप्त हुई, वह सरदार पटेल की कार्यक्षमता का ही परिणाम था"
इसके_अलावा_female.wav,8.12775,female,"इसके अलावा जो शक्ति और संपूर्णता कांग्रेस को प्राप्त हुई, वह सरदार पटेल की कार्यक्षमता का ही परिणाम था"
आपकी_सेवाओ_male.wav,5.91025,male,"आपकी सेवाओं, दृढ़ता व कार्यक्षमता के कारण ही आपको 'लौहपुरुष' कहा जाता है"
आपकी_सेवाओ_female.wav,5.875375,female,"आपकी सेवाओं, दृढ़ता व कार्यक्षमता के कारण ही आपको 'लौहपुरुष' कहा जाता है"
आज_भी_हम_भ_male.wav,16.89325,male,"आज भी हम भारत के ताजा परिप्रेक्ष्य पर गौर करें, तो देश का लगभग आधा भाग सांप्रदायिक एवं विघटनकारी राष्ट्रद्रोहियों की चपेट में फंसा दिखाई देता है, ऐसी संकट की घड़ी में भारत के स्वतंत्रता संग्राम सेनानी सरदार पटेल की स्मृति हो उठना स्वाभाविक है"
आज_भी_हम_भ_female.wav,17.1719375,female,"आज भी हम भारत के ताजा परिप्रेक्ष्य पर गौर करें, तो देश का लगभग आधा भाग सांप्रदायिक एवं विघटनकारी राष्ट्रद्रोहियों की चपेट में फंसा दिखाई देता है, ऐसी संकट की घड़ी में भारत के स्वतंत्रता संग्राम सेनानी सरदार पटेल की स्मृति हो उठना स्वाभाविक है"
प्राचीन_का_male.wav,4.6099375,male,प्राचीन काल में विक्रमादित्य नाम के एक आदर्श राजा हुआ करते थे
प्राचीन_का_female.wav,4.9814375,female,प्राचीन काल में विक्रमादित्य नाम के एक आदर्श राजा हुआ करते थे
"अपने_साहस,_male.wav",4.3893125,male,"अपने साहस, पराक्रम और शौर्य के लिए राजा विक्रम मशहूर थे"
"अपने_साहस,_female.wav",4.4241875,female,"अपने साहस, पराक्रम और शौर्य के लिए राजा विक्रम मशहूर थे"
ऐसा_भी_कहा_male.wav,8.8475625,male,ऐसा भी कहा जाता है कि राजा विक्रम अपनी प्राजा के जीवन के दुख दर्द जाने के लिए रात्री के पहर में भेष बदल कर नगर में घूमते थे
ऐसा_भी_कहा_female.wav,9.3119375,female,ऐसा भी कहा जाता है कि राजा विक्रम अपनी प्राजा के जीवन के दुख दर्द जाने के लिए रात्री के पहर में भेष बदल कर नगर में घूमते थे
और_दुखियों_male.wav,2.705875,male,और दुखियों का दुख भी दूर करते थे
और_दुखियों_female.wav,2.891625,female,और दुखियों का दुख भी दूर करते थे
राजा_विक्र_male.wav,6.0611875,male,राजा विक्रम और बेताल के किस्सों पर कई सारी किताबें और कहानियाँ प्रकाशित हुई हैं
राजा_विक्र_female.wav,6.49075,female,राजा विक्रम और बेताल के किस्सों पर कई सारी किताबें और कहानियाँ प्रकाशित हुई हैं
विक्रमादित_male.wav,6.6416875,male,विक्रमादित्य और बेताल के किस्सों पर छपी बेताल पच्चीसी और सिंहासन बत्तीसी प्रख्यात किताबें हैं
विक्रमादित_female.wav,6.5139375,female,विक्रमादित्य और बेताल के किस्सों पर छपी बेताल पच्चीसी और सिंहासन बत्तीसी प्रख्यात किताबें हैं
जिन्हें_आज_male.wav,3.48375,male,जिन्हें आज भी अभूतपूर्व लोकप्रियता प्राप्त है
जिन्हें_आज_female.wav,3.785625,female,जिन्हें आज भी अभूतपूर्व लोकप्रियता प्राप्त है
प्राचीन_सा_male.wav,8.034875,male,प्राचीन साहित्य वार्ता लेख “बेताल पच्चीसी” महाकवि सोमदेव भट्ट द्वारा 2500 वर्ष पूर्व रचित किया गया था
प्राचीन_सा_female.wav,8.220625,female,प्राचीन साहित्य वार्ता लेख “बेताल पच्चीसी” महाकवि सोमदेव भट्ट द्वारा 2500 वर्ष पूर्व रचित किया गया था
और_उसी_के__male.wav,11.40175,male,"और उसी के अनुसार, राजा विक्रम ने बेताल को पच्चीस बार पेड़ से उतार कर ले जाने की कोशिश की थी और बेताल ने हर बार रास्ते में एक नई कहानी राजा विक्रम को सुनाई थी"
और_उसी_के__female.wav,11.5643125,female,"और उसी के अनुसार, राजा विक्रम ने बेताल को पच्चीस बार पेड़ से उतार कर ले जाने की कोशिश की थी और बेताल ने हर बार रास्ते में एक नई कहानी राजा विक्रम को सुनाई थी"
कौन_था_बेत_male.wav,4.64475,male,कौन था बेताल और क्यों राजा विक्रमादित्य उसे पकड़ने गए थे
कौन_था_बेत_female.wav,5.0975625,female,कौन था बेताल और क्यों राजा विक्रमादित्य उसे पकड़ने गए थे
एक_तांत्रि_male.wav,6.8041875,male,एक तांत्रिक बत्तीस लक्षण वाले स्वस्थ ब्राह्मण पुत्र की बली देने का तांत्रिक अनुष्ठान करता है
एक_तांत्रि_female.wav,7.3846875,female,एक तांत्रिक बत्तीस लक्षण वाले स्वस्थ ब्राह्मण पुत्र की बली देने का तांत्रिक अनुष्ठान करता है
ताकि_उसकी__male.wav,3.298,male,ताकि उसकी आसुरी शक्तियाँ और बढ़ जाए
ताकि_उसकी__female.wav,3.4025,female,ताकि उसकी आसुरी शक्तियाँ और बढ़ जाए
इसी_हेतु_व_male.wav,5.0859375,male,इसी हेतु वह एक ब्राह्मण पुत्र को मारने के लिए उसके पीछे पड़ता है
इसी_हेतु_व_female.wav,5.4458125,female,इसी हेतु वह एक ब्राह्मण पुत्र को मारने के लिए उसके पीछे पड़ता है
परंतु_वह_ब_male.wav,14.3390625,male,"परंतु वह ब्राह्मण पुत्र भाग कर जंगल में चला जाता है और वहाँ उसे एक प्रेत मिलता है, जो ब्राह्मण पुत्र को उस तांत्रिक से बचने के लिए शक्तियाँ देता है और वहीं प्रेत रूप में पेड़ पर उल्टा लटक जाने को कहता है"
परंतु_वह_ब_female.wav,15.73225,female,"परंतु वह ब्राह्मण पुत्र भाग कर जंगल में चला जाता है और वहाँ उसे एक प्रेत मिलता है, जो ब्राह्मण पुत्र को उस तांत्रिक से बचने के लिए शक्तियाँ देता है और वहीं प्रेत रूप में पेड़ पर उल्टा लटक जाने को कहता है"
और_यह_भी_क_male.wav,6.5488125,male,और यह भी कहता है कि जब तक वह उस पेड़ पर रहेगा तब तक वह तांत्रिक उसे मार नहीं पाएगा
और_यह_भी_क_female.wav,6.6300625,female,और यह भी कहता है कि जब तक वह उस पेड़ पर रहेगा तब तक वह तांत्रिक उसे मार नहीं पाएगा
वही_ब्राह्_male.wav,2.810375,male,वही ब्राह्मण पुत्र “बेताल” होता है
वही_ब्राह्_female.wav,3.11225,female,वही ब्राह्मण पुत्र “बेताल” होता है
कपटी_तांत्_male.wav,3.8320625,male,कपटी तांत्रिक एक भिक्षुक योगी का स्वांग रचता है
कपटी_तांत्_female.wav,4.157125,female,कपटी तांत्रिक एक भिक्षुक योगी का स्वांग रचता है
और_राजा_वि_male.wav,6.4443125,male,और राजा विक्रम के पराक्रम और शौर्य गाथाओं को सुन कर अपना काम निकलवा लेने का जाल बिछाता है
और_राजा_वि_female.wav,7.036375,female,और राजा विक्रम के पराक्रम और शौर्य गाथाओं को सुन कर अपना काम निकलवा लेने का जाल बिछाता है
और_राजा_वि_male.wav,5.527125,male,और राजा विक्रम को यात्रा के दौरान प्रति दिन एक स्वादिष्ट फल भेंट भेजता है
और_राजा_वि_female.wav,5.9450625,female,और राजा विक्रम को यात्रा के दौरान प्रति दिन एक स्वादिष्ट फल भेंट भेजता है
जिसके_अंदर_male.wav,3.367625,male,जिसके अंदर एक कीमती रत्न रूबी होता है
जिसके_अंदर_female.wav,3.6230625,female,जिसके अंदर एक कीमती रत्न रूबी होता है
इस_भेद_का__male.wav,4.4009375,male,इस भेद का पता लगाने राजा विक्रम उस भिक्षुक की खोज करते हैं
इस_भेद_का__female.wav,4.528625,female,इस भेद का पता लगाने राजा विक्रम उस भिक्षुक की खोज करते हैं
अंततः_राजा_male.wav,2.822,male,अंततः राजा विक्रम उसे खोज लेते हैं
अंततः_राजा_female.wav,3.0309375,female,अंततः राजा विक्रम उसे खोज लेते हैं
चूँकि_उस_ढ_male.wav,11.0650625,male,चूँकि उस ढोंगी भिक्षुक में स्वयं बेताल को लाने की शक्ति नहीं होती इसलिए वह स्वांग रच कर राजा विक्रम से उस पेड़ पर लटक रहे प्रेत बेताल को लाने के लिए कहता है
चूँकि_उस_ढ_female.wav,11.784875,female,चूँकि उस ढोंगी भिक्षुक में स्वयं बेताल को लाने की शक्ति नहीं होती इसलिए वह स्वांग रच कर राजा विक्रम से उस पेड़ पर लटक रहे प्रेत बेताल को लाने के लिए कहता है
राजा_विक्र_male.wav,5.6780625,male,राजा विक्रम उस तांत्रिक की असल मंशा से अनजान उसका काम करने निकल पड़ते है
राजा_विक्र_female.wav,6.3398125,female,राजा विक्रम उस तांत्रिक की असल मंशा से अनजान उसका काम करने निकल पड़ते है
राजा_विक्र_male.wav,6.293375,male,राजा विक्रम पेड़ से बेताल को हर बार उतार लेते और उस भिक्षुक के पास लेजाने लगते
राजा_विक्र_female.wav,6.7229375,female,राजा विक्रम पेड़ से बेताल को हर बार उतार लेते और उस भिक्षुक के पास लेजाने लगते
रास्ता_लंब_male.wav,13.062,male,रास्ता लंबा होने की वजह से हर बार बेताल कहानी सुनाने लगता और यह शर्त रखता है कि कहानी सुनने के बाद यदि राजा विक्रम ने उसके प्रश्न का सार्थक उत्तर ना दिया तो वह राजा विक्रम को मार देगा
रास्ता_लंब_female.wav,14.3855,female,रास्ता लंबा होने की वजह से हर बार बेताल कहानी सुनाने लगता और यह शर्त रखता है कि कहानी सुनने के बाद यदि राजा विक्रम ने उसके प्रश्न का सार्थक उत्तर ना दिया तो वह राजा विक्रम को मार देगा
और_अगर_राज_male.wav,7.257,male,और अगर राजा विक्रम ने जवाब देने के लिए मुंह खोला तो वह रूठ कर फिर से अपने पेड़ पर जा कर उल्टा लटक जाएगा
और_अगर_राज_female.wav,7.91875,female,और अगर राजा विक्रम ने जवाब देने के लिए मुंह खोला तो वह रूठ कर फिर से अपने पेड़ पर जा कर उल्टा लटक जाएगा
"दोस्तों,_र_male.wav",9.39325,male,"दोस्तों, राष्ट्रीय चैनल दूरदर्शन पर नब्बे के दशक में “विक्रम और बेताल” नाम का एक सीरियल भी आता था, जिसे काफी सराहा गया था"
"दोस्तों,_र_female.wav",9.6254375,female,"दोस्तों, राष्ट्रीय चैनल दूरदर्शन पर नब्बे के दशक में “विक्रम और बेताल” नाम का एक सीरियल भी आता था, जिसे काफी सराहा गया था"
आज_हम_इस_ल_male.wav,6.5488125,male,आज हम इस लेख के द्वारा विक्रम और बेताल के किस्सो से जुड़ी दो रोचक कहानियाँ प्रस्तुत कर रहे हैं
आज_हम_इस_ल_female.wav,7.1176875,female,आज हम इस लेख के द्वारा विक्रम और बेताल के किस्सो से जुड़ी दो रोचक कहानियाँ प्रस्तुत कर रहे हैं
घनघोर_अंधे_male.wav,6.6996875,male,घनघोर अंधेरी रात में राजा विक्रम अपनी खुली तलवार लिए बेताल को पकड़ने आगे बढ़ते हैं
घनघोर_अंधे_female.wav,7.2105625,female,घनघोर अंधेरी रात में राजा विक्रम अपनी खुली तलवार लिए बेताल को पकड़ने आगे बढ़ते हैं
और_अपने_पर_male.wav,5.399375,male,और अपने पराक्रम से बेताल को वश में कर के अपने पीठ पर लाद कर ले जाने लगते है
और_अपने_पर_female.wav,5.91025,female,और अपने पराक्रम से बेताल को वश में कर के अपने पीठ पर लाद कर ले जाने लगते है
सफर_लंबा_ह_male.wav,7.1293125,male,सफर लंबा होने के कारण बेताल राजा विक्रम को कहानी सुनाता है और हमेशा की तरह शर्त रखता है कि–
सफर_लंबा_ह_female.wav,7.1176875,female,सफर लंबा होने के कारण बेताल राजा विक्रम को कहानी सुनाता है और हमेशा की तरह शर्त रखता है कि–
अगर_कहानी__male.wav,5.0395,male,अगर कहानी सुननें के बाद तुमने उत्तर देने के लिए मुह खोला तो में उड़ जाऊंगा
अगर_कहानी__female.wav,5.341375,female,अगर कहानी सुननें के बाद तुमने उत्तर देने के लिए मुह खोला तो में उड़ जाऊंगा
बेताल_कहान_male.wav,2.8568125,male,बेताल कहानी सुनाना शुरू करता है-
